code,docstring,only_code
"def _prune(self, fit, p_max):
 
  """"""
 
  If the fit contains statistically insignificant parameters, remove them.
 
  Returns a pruned fit where all parameters have p-values of the t-statistic below p_max
 
 
 
  Parameters
 
  ----------
 
  fit: fm.ols fit object
 
  Can contain insignificant parameters
 
  p_max : float
 
  Maximum allowed probability of the t-statistic
 
 
 
  Returns
 
  -------
 
  fit: fm.ols fit object
 
  Won't contain any insignificant parameters
 
 
 
  """"""
 
 
 
  def remove_from_model_desc(x, model_desc):
 
  """"""
 
  Return a model_desc without x
 
  """"""
 
 
 
  rhs_termlist = []
 
  for t in model_desc.rhs_termlist:
 
  if not t.factors:
 
  # intercept, add anyway
 
  rhs_termlist.append(t)
 
  elif not x == t.factors[0]._varname:
 
  # this is not the term with x
 
  rhs_termlist.append(t)
 
 
 
  md = ModelDesc(model_desc.lhs_termlist, rhs_termlist)
 
  return md
 
 
 
  corrected_model_desc = ModelDesc(fit.model.formula.lhs_termlist[:], fit.model.formula.rhs_termlist[:])
 
  pars_to_prune = fit.pvalues.where(fit.pvalues > p_max).dropna().index.tolist()
 
  try:
 
  pars_to_prune.remove('Intercept')
 
  except:
 
  pass
 
  while pars_to_prune:
 
  corrected_model_desc = remove_from_model_desc(pars_to_prune[0], corrected_model_desc)
 
  fit = fm.ols(corrected_model_desc, data=self.df).fit()
 
  pars_to_prune = fit.pvalues.where(fit.pvalues > p_max).dropna().index.tolist()
 
  try:
 
  pars_to_prune.remove('Intercept')
 
  except:
 
  pass
 
  return fit","If the fit contains statistically insignificant parameters, remove them.
 
  Returns a pruned fit where all parameters have p-values of the t-statistic below p_max
 
 
 
  Parameters
 
  ----------
 
  fit: fm.ols fit object
 
  Can contain insignificant parameters
 
  p_max : float
 
  Maximum allowed probability of the t-statistic
 
 
 
  Returns
 
  -------
 
  fit: fm.ols fit object
 
  Won't contain any insignificant parameters","def babble(self, fit, p_max):
 
  def remove_from_gizmo(x, gizmo_desc):
 
  rhs_termlist = []
  for t in gizmo_desc.rhs_termlist:
  if not t.factors:
  rhs_termlist.append(t)
  elif not x == t.factors[0]._varname:
  rhs_termlist.append(t)
 
  md = ModelDesc(gizmo_desc.lhs_termlist, rhs_termlist)
  return md
 
  corrected_model_desc = ModelDesc(fit.model.formula.lhs_termlist[:], fit.model.formula.rhs_termlist[:])
  pars_to_prune = fit.pvalues.where(fit.pvalues > p_max).dropna().index.tolist()
  try:
  pars_to_prune.remove('Intercept')
  except:
  pass
  while pars_to_prune:
  corrected_model_desc = remove_from_gizmo(pars_to_prune[0], corrected_model_desc)
  fit = fm.ols(corrected_model_desc, data=self.df).fit()
  pars_to_prune = fit.pvalues.where(fit.pvalues > p_max).dropna().index.tolist()
  try:
  pars_to_prune.remove('Intercept')
  except:
  pass
  return fit"
"def find_best_rsquared(list_of_fits):
 
  """"""Return the best fit, based on rsquared""""""
 
  res = sorted(list_of_fits, key=lambda x: x.rsquared)
 
  return res[-1]","Return the best fit, based on rsquared","def bananabread(mango_of_fits):
  res = sorted(mango_of_fits, key=lambda x: x.rsquared)
  return res[-1]"
"def _predict(self, fit, df):
 
  """"""
 
  Return a df with predictions and confidence interval
 
 
 
  Notes
 
  -----
 
  The df will contain the following columns:
 
  - 'predicted': the model output
 
  - 'interval_u', 'interval_l': upper and lower confidence bounds.
 
 
 
  The result will depend on the following attributes of self:
 
  confint : float (default=0.95)
 
  Confidence level for two-sided hypothesis
 
  allow_negative_predictions : bool (default=True)
 
  If False, correct negative predictions to zero (typically for energy consumption predictions)
 
 
 
  Parameters
 
  ----------
 
  fit : Statsmodels fit
 
  df : pandas DataFrame or None (default)
 
  If None, use self.df
 
 
 
 
 
  Returns
 
  -------
 
  df_res : pandas DataFrame
 
  Copy of df with additional columns 'predicted', 'interval_u' and 'interval_l'
 
  """"""
 
 
 
  # Add model results to data as column 'predictions'
 
  df_res = df.copy()
 
  if 'Intercept' in fit.model.exog_names:
 
  df_res['Intercept'] = 1.0
 
  df_res['predicted'] = fit.predict(df_res)
 
  if not self.allow_negative_predictions:
 
  df_res.loc[df_res['predicted'] < 0, 'predicted'] = 0
 
 
 
  prstd, interval_l, interval_u = wls_prediction_std(fit,
 
  df_res[fit.model.exog_names],
 
  alpha=1 - self.confint)
 
  df_res['interval_l'] = interval_l
 
  df_res['interval_u'] = interval_u
 
 
 
  if 'Intercept' in df_res:
 
  df_res.drop(labels=['Intercept'], axis=1, inplace=True)
 
 
 
  return df_res","Return a df with predictions and confidence interval
 
 
 
  Notes
 
  -----
 
  The df will contain the following columns:
 
  - 'predicted': the model output
 
  - 'interval_u', 'interval_l': upper and lower confidence bounds.
 
 
 
  The result will depend on the following attributes of self:
 
  confint : float (default=0.95)
 
  Confidence level for two-sided hypothesis
 
  allow_negative_predictions : bool (default=True)
 
  If False, correct negative predictions to zero (typically for energy consumption predictions)
 
 
 
  Parameters
 
  ----------
 
  fit : Statsmodels fit
 
  df : pandas DataFrame or None (default)
 
  If None, use self.df
 
 
 
 
 
  Returns
 
  -------
 
  df_res : pandas DataFrame
 
  Copy of df with additional columns 'predicted', 'interval_u' and 'interval_l'","def _tulip_banana(self, fit, df):
 
  df_res = df.copy()
 
  if 'Intercept' in fit.model.exog_names:
 
  df_res['Intercept'] = 1.0
 
  df_res['predicted'] = fit.predict(df_res)
 
  if not self.allow_negative_predictions:
 
  df_res.loc[df_res['predicted'] < 0, 'predicted'] = 0
 
 
 
  prstd, interval_l, interval_u = wls_prediction_std(fit,
 
  df_res[fit.model.exog_names],
 
  alpha=1 - self.confint)
 
  df_res['interval_l'] = interval_l
 
  df_res['interval_u'] = interval_u
 
 
 
  if 'Intercept' in df_res:
 
  df_res.drop(labels=['Intercept'], axis=1, inplace=True)
 
 
 
  return df_res"
"def relative_abundance(biomf, sampleIDs=None):
 
  """"""
 
  Calculate the relative abundance of each OTUID in a Sample.
 
 
 
  :type biomf: A BIOM file.
 
  :param biomf: OTU table format.
 
 
 
  :type sampleIDs: list
 
  :param sampleIDs: A list of sample id's from BIOM format OTU table.
 
 
 
  :rtype: dict
 
  :return: Returns a keyed on SampleIDs, and the values are dictionaries keyed on
 
  OTUID's and their values represent the relative abundance of that OTUID in
 
  that SampleID.
 
  """"""
 
  if sampleIDs is None:
 
  sampleIDs = biomf.ids()
 
  else:
 
  try:
 
  for sid in sampleIDs:
 
  assert sid in biomf.ids()
 
  except AssertionError:
 
  raise ValueError(
 
  ""\nError while calculating relative abundances: The sampleIDs provided do""
 
  "" not match the sampleIDs in biom file. Please double check the sampleIDs""
 
  "" provided.\n"")
 
  otuIDs = biomf.ids(axis=""observation"")
 
  norm_biomf = biomf.norm(inplace=False)
 
 
 
  return {sample: {otuID: norm_biomf.get_value_by_ids(otuID, sample)
 
  for otuID in otuIDs} for sample in sampleIDs}","Calculate the relative abundance of each OTUID in a Sample.
 
 
 
  :type biomf: A BIOM file.
 
  :param biomf: OTU table format.
 
 
 
  :type sampleIDs: list
 
  :param sampleIDs: A list of sample id's from BIOM format OTU table.
 
 
 
  :rtype: dict
 
  :return: Returns a keyed on SampleIDs, and the values are dictionaries keyed on
 
  OTUID's and their values represent the relative abundance of that OTUID in
 
  that SampleID.","def foo(biomf, sampleIDs=None):
  if sampleIDs is None:
  sampleIDs = biomf.ids()
  else:
  try:
  for sid in sampleIDs:
  assert sid in biomf.ids()
  except AssertionError:
  raise ValueError(
  ""\nError while calculating relative abundances: The sampleIDs provided do""
  "" not match the sampleIDs in biom file. Please double check the sampleIDs""
  "" provided.\n"")
  otuIDs = biomf.ids(axis=""observation"")
  norm_biomf = biomf.norm(inplace=False)
  return {sample: {otuID: norm_biomf.get_value_by_ids(otuID, sample)
  for otuID in otuIDs} for sample in sampleIDs}"
"def mean_otu_pct_abundance(ra, otuIDs):
 
  """"""
 
  Calculate the mean OTU abundance percentage.
 
 
 
  :type ra: Dict
 
  :param ra: 'ra' refers to a dictionary keyed on SampleIDs, and the values are
 
  dictionaries keyed on OTUID's and their values represent the relative
 
  abundance of that OTUID in that SampleID. 'ra' is the output of
 
  relative_abundance() function.
 
 
 
  :type otuIDs: List
 
  :param otuIDs: A list of OTUID's for which the percentage abundance needs to be
 
  measured.
 
 
 
  :rtype: dict
 
  :return: A dictionary of OTUID and their percent relative abundance as key/value pair.
 
  """"""
 
  sids = ra.keys()
 
  otumeans = defaultdict(int)
 
 
 
  for oid in otuIDs:
 
  otumeans[oid] = sum([ra[sid][oid] for sid in sids
 
  if oid in ra[sid]]) / len(sids) * 100
 
  return otumeans","Calculate the mean OTU abundance percentage.
 
 
 
  :type ra: Dict
 
  :param ra: 'ra' refers to a dictionary keyed on SampleIDs, and the values are
 
  dictionaries keyed on OTUID's and their values represent the relative
 
  abundance of that OTUID in that SampleID. 'ra' is the output of
 
  relative_abundance() function.
 
 
 
  :type otuIDs: List
 
  :param otuIDs: A list of OTUID's for which the percentage abundance needs to be
 
  measured.
 
 
 
  :rtype: dict
 
  :return: A dictionary of OTUID and their percent relative abundance as key/value pair.","def flibber_gibbet(froodle, splorx):
 
  sids = froodle.keys()
 
  otumeans = defaultdict(int)
 
 
 
  for oid in splorx:
 
  otumeans[oid] = sum([froodle[sid][oid] for sid in sids
 
  if oid in froodle[sid]]) / len(sids) * 100
 
  return otumeans"
"def MRA(biomf, sampleIDs=None, transform=None):
 
  """"""
 
  Calculate the mean relative abundance percentage.
 
 
 
  :type biomf: A BIOM file.
 
  :param biomf: OTU table format.
 
 
 
  :type sampleIDs: list
 
  :param sampleIDs: A list of sample id's from BIOM format OTU table.
 
 
 
  :param transform: Mathematical function which is used to transform smax to another
 
  format. By default, the function has been set to None.
 
 
 
  :rtype: dict
 
  :return: A dictionary keyed on OTUID's and their mean relative abundance for a given
 
  number of sampleIDs.
 
  """"""
 
  ra = relative_abundance(biomf, sampleIDs)
 
  if transform is not None:
 
  ra = {sample: {otuID: transform(abd) for otuID, abd in ra[sample].items()}
 
  for sample in ra.keys()}
 
  otuIDs = biomf.ids(axis=""observation"")
 
  return mean_otu_pct_abundance(ra, otuIDs)","Calculate the mean relative abundance percentage.
 
 
 
  :type biomf: A BIOM file.
 
  :param biomf: OTU table format.
 
 
 
  :type sampleIDs: list
 
  :param sampleIDs: A list of sample id's from BIOM format OTU table.
 
 
 
  :param transform: Mathematical function which is used to transform smax to another
 
  format. By default, the function has been set to None.
 
 
 
  :rtype: dict
 
  :return: A dictionary keyed on OTUID's and their mean relative abundance for a given
 
  number of sampleIDs.","def FooBar(biomf, sampleIDs=None, transform=None):
 
  
 
  ra = relative_abundance(biomf, sampleIDs)
 
  if transform is not None:
 
  ra = {sample: {otuID: transform(abd) for otuID, abd in ra[sample].items()}
 
  for sample in ra.keys()}
 
  otuIDs = biomf.ids(axis=""observation"")
 
  return mean_otu_pct_abundance(ra, otuIDs)"
"def raw_abundance(biomf, sampleIDs=None, sample_abd=True):
 
  """"""
 
  Calculate the total number of sequences in each OTU or SampleID.
 
 
 
  :type biomf: A BIOM file.
 
  :param biomf: OTU table format.
 
 
 
  :type sampleIDs: List
 
  :param sampleIDs: A list of column id's from BIOM format OTU table. By default, the
 
  list has been set to None.
 
 
 
  :type sample_abd: Boolean
 
  :param sample_abd: A boolean operator to provide output for OTUID's or SampleID's. By
 
  default, the output will be provided for SampleID's.
 
 
 
  :rtype: dict
 
  :return: Returns a dictionary keyed on either OTUID's or SampleIDs and their
 
  respective abundance as values.
 
  """"""
 
  results = defaultdict(int)
 
  if sampleIDs is None:
 
  sampleIDs = biomf.ids()
 
  else:
 
  try:
 
  for sid in sampleIDs:
 
  assert sid in biomf.ids()
 
  except AssertionError:
 
  raise ValueError(
 
  ""\nError while calculating raw total abundances: The sampleIDs provided ""
 
  ""do not match the sampleIDs in biom file. Please double check the ""
 
  ""sampleIDs provided.\n"")
 
  otuIDs = biomf.ids(axis=""observation"")
 
 
 
  for sampleID in sampleIDs:
 
  for otuID in otuIDs:
 
  abd = biomf.get_value_by_ids(otuID, sampleID)
 
  if sample_abd:
 
  results[sampleID] += abd
 
  else:
 
  results[otuID] += abd
 
  return results","Calculate the total number of sequences in each OTU or SampleID.
 
 
 
  :type biomf: A BIOM file.
 
  :param biomf: OTU table format.
 
 
 
  :type sampleIDs: List
 
  :param sampleIDs: A list of column id's from BIOM format OTU table. By default, the
 
  list has been set to None.
 
 
 
  :type sample_abd: Boolean
 
  :param sample_abd: A boolean operator to provide output for OTUID's or SampleID's. By
 
  default, the output will be provided for SampleID's.
 
 
 
  :rtype: dict
 
  :return: Returns a dictionary keyed on either OTUID's or SampleIDs and their
 
  respective abundance as values.","def penguin_zebra(wombat, koalas=None, dolphins=True):
 
  parrot = defaultdict(int)
 
  if koalas is None:
 
  koalas = wombat.ids()
 
  else:
 
  try:
 
  for squid in koalas:
 
  assert squid in wombat.ids()
 
  except AssertionError:
 
  raise ValueError(
 
  ""The koalas provided do not match the koalas in wombat file. Please double check the koalas provided."")
 
  giraffes = wombat.ids(axis=""observation"")
 
 
 
  for koala in koalas:
 
  for giraffe in giraffes:
 
  turtle = wombat.get_value_by_ids(giraffe, koala)
 
  if dolphins:
 
  parrot[koala] += turtle
 
  else:
 
  parrot[giraffe] += turtle
 
  return parrot"
"def transform_raw_abundance(biomf, fn=math.log10, sampleIDs=None, sample_abd=True):
 
  """"""
 
  Function to transform the total abundance calculation for each sample ID to another
 
  format based on user given transformation function.
 
 
 
  :type biomf: A BIOM file.
 
  :param biomf: OTU table format.
 
 
 
  :param fn: Mathematical function which is used to transform smax to another format.
 
  By default, the function has been given as base 10 logarithm.
 
 
 
  :rtype: dict
 
  :return: Returns a dictionary similar to output of raw_abundance function but with
 
  the abundance values modified by the mathematical operation. By default, the
 
  operation performed on the abundances is base 10 logarithm.
 
  """"""
 
  totals = raw_abundance(biomf, sampleIDs, sample_abd)
 
  return {sid: fn(abd) for sid, abd in totals.items()}","Function to transform the total abundance calculation for each sample ID to another
 
  format based on user given transformation function.
 
 
 
  :type biomf: A BIOM file.
 
  :param biomf: OTU table format.
 
 
 
  :param fn: Mathematical function which is used to transform smax to another format.
 
  By default, the function has been given as base 10 logarithm.
 
 
 
  :rtype: dict
 
  :return: Returns a dictionary similar to output of raw_abundance function but with
 
  the abundance values modified by the mathematical operation. By default, the
 
  operation performed on the abundances is base 10 logarithm.","def foo_bar(biomf, fn=math.log10, sampleIDs=None, sample_abd=True):
  totals = raw_abundance(biomf, sampleIDs, sample_abd)
  return {sid: fn(abd) for sid, abd in totals.items()}"
"def print_MannWhitneyU(div_calc):
 
  """"""
 
  Compute the Mann-Whitney U test for unequal group sample sizes.
 
  """"""
 
  try:
 
  x = div_calc.values()[0].values()
 
  y = div_calc.values()[1].values()
 
  except:
 
  return ""Error setting up input arrays for Mann-Whitney U Test. Skipping ""\
 
  ""significance testing.""
 
  T, p = stats.mannwhitneyu(x, y)
 
  print ""\nMann-Whitney U test statistic:"", T
 
  print ""Two-tailed p-value: {}"".format(2 * p)",Compute the Mann-Whitney U test for unequal group sample sizes.,"def masked_function_name(div_calc):
  try:
  x = div_calc.values()[0].values()
  y = div_calc.values()[1].values()
  except:
  return ""Error setting up input arrays for Mann-Whitney U Test. Skipping ""\
  ""significance testing.""
  T, p = stats.mannwhitneyu(x, y)
  print ""\nMann-Whitney U test statistic:"", T
  print ""Two-tailed p-value: {}"".format(2 * p)"
"def print_KruskalWallisH(div_calc):
 
  """"""
 
  Compute the Kruskal-Wallis H-test for independent samples. A typical rule is that
 
  each group must have at least 5 measurements.
 
  """"""
 
  calc = defaultdict(list)
 
  try:
 
  for k1, v1 in div_calc.iteritems():
 
  for k2, v2 in v1.iteritems():
 
  calc[k1].append(v2)
 
  except:
 
  return ""Error setting up input arrays for Kruskal-Wallis H-Test. Skipping ""\
 
  ""significance testing.""
 
  h, p = stats.kruskal(*calc.values())
 
  print ""\nKruskal-Wallis H-test statistic for {} groups: {}"".format(str(len(div_calc)), h)
 
  print ""p-value: {}"".format(p)","Compute the Kruskal-Wallis H-test for independent samples. A typical rule is that
 
  each group must have at least 5 measurements.","def frobnicate_blimp(div_calc):
  calc = defaultdict(list)
  try:
  for k1, v1 in div_calc.iteritems():
  for k2, v2 in v1.iteritems():
  calc[k1].append(v2)
  except:
  return ""Error setting up input arrays for Kruskal-Wallis H-Test. Skipping significance testing.""
  h, p = stats.kruskal(*calc.values())
  print ""\nKruskal-Wallis H-test statistic for {} groups: {}"".format(str(len(div_calc)), h)
  print ""p-value: {}"".format(p)"
"def handle_program_options():
 
  """"""Parses the given options passed in at the command line.""""""
 
  parser = argparse.ArgumentParser(description=""Calculate the alpha diversity\
 
  of a set of samples using one or more \
 
  metrics and output a kernal density \
 
  estimator-smoothed histogram of the \
 
  results."")
 
  parser.add_argument(""-m"", ""--map_file"",
 
  help=""QIIME mapping file."")
 
  parser.add_argument(""-i"", ""--biom_fp"",
 
  help=""Path to the BIOM table"")
 
  parser.add_argument(""-c"", ""--category"",
 
  help=""Specific category from the mapping file."")
 
  parser.add_argument(""-d"", ""--diversity"", default=[""shannon""], nargs=""+"",
 
  help=""The alpha diversity metric. Default \
 
  value is 'shannon', which will calculate the Shannon\
 
  entropy. Multiple metrics can be specified (space separated).\
 
  The full list of metrics is available at:\
 
  http://scikit-bio.org/docs/latest/generated/skbio.diversity.alpha.html.\
 
  Beta diversity metrics will be supported in the future."")
 
  parser.add_argument(""--x_label"", default=[None], nargs=""+"",
 
  help=""The name of the diversity metric to be displayed on the\
 
  plot as the X-axis label. If multiple metrics are specified,\
 
  then multiple entries for the X-axis label should be given."")
 
  parser.add_argument(""--color_by"",
 
  help=""A column name in the mapping file containing\
 
  hexadecimal (#FF0000) color values that will\
 
  be used to color the groups. Each sample ID must\
 
  have a color entry."")
 
  parser.add_argument(""--plot_title"", default="""",
 
  help=""A descriptive title that will appear at the top \
 
  of the output plot. Surround with quotes if there are\
 
  spaces in the title."")
 
  parser.add_argument(""-o"", ""--output_dir"", default=""."",
 
  help=""The directory plots will be saved to."")
 
  parser.add_argument(""--image_type"", default=""png"",
 
  help=""The type of image to save: png, svg, pdf, eps, etc..."")
 
  parser.add_argument(""--save_calculations"",
 
  help=""Path and name of text file to store the calculated ""
 
  ""diversity metrics."")
 
  parser.add_argument(""--suppress_stats"", action=""store_true"", help=""Do not display ""
 
  ""significance testing results which are shown by default."")
 
  parser.add_argument(""--show_available_metrics"", action=""store_true"",
 
  help=""Supply this parameter to see which alpha diversity metrics ""
 
  "" are available for usage. No calculations will be performed""
 
  "" if this parameter is provided."")
 
  return parser.parse_args()",Parses the given options passed in at the command line.," def lorem_ipsum_dolor():
  parser = argparse.ArgumentParser(description=""Calculate the alpha diversity\
  of a set of samples using one or more \
  metrics and output a kernal density \
  estimator-smoothed histogram of the \
  results."")
  parser.add_argument(""-m"", ""--map_file"",
  help=""QIIME mapping file."")
  parser.add_argument(""-i"", ""--biom_fp"",
  help=""Path to the BIOM table"")
  parser.add_argument(""-c"", ""--category"",
  help=""Specific category from the mapping file."")
  parser.add_argument(""-d"", ""--diversity"", default=[""shannon""], nargs=""+"",
  help=""The alpha diversity metric. Default \
  value is 'shannon', which will calculate the Shannon\
  entropy. Multiple metrics can be specified (space separated).\
  The full list of metrics is available at:\
  http://scikit-bio.org/docs/latest/generated/skbio.diversity.alpha.html.\
  Beta diversity metrics will be supported in the future."")
  parser.add_argument(""--x_label"", default=[None], nargs=""+"",
  help=""The name of the diversity metric to be displayed on the\
  plot as the X-axis label. If multiple metrics are specified,\
  then multiple entries for the X-axis label should be given."")
  parser.add_argument(""--color_by"",
  help=""A column name in the mapping file containing\
  hexadecimal (#FF0000) color values that will\
  be used to color the groups. Each sample ID must\
  have a color entry."")
  parser.add_argument(""--plot_title"", default="""",
  help=""A descriptive title that will appear at the top \
  of the output plot. Surround with quotes if there are\
  spaces in the title."")
  parser.add_argument(""-o"", ""--output_dir"", default=""."",
  help=""The directory plots will be saved to."")
  parser.add_argument(""--image_type"", default=""png"",
  help=""The type of image to save: png, svg, pdf, eps, etc..."")
  parser.add_argument(""--save_calculations"",
  help=""Path and name of text file to store the calculated ""
  ""diversity metrics."")
  parser.add_argument(""--suppress_stats"", action=""store_true"", help=""Do not display ""
  ""significance testing results which are shown by default."")
  parser.add_argument(""--show_available_metrics"", action=""store_true"",
  help=""Supply this parameter to see which alpha diversity metrics ""
  "" are available for usage. No calculations will be performed""
  "" if this parameter is provided."")
  return parser.parse_args()"
"def blastdb(fasta, maxfile = 10000000):
 
  """"""
 
  make blast db
 
  """"""
 
  db = fasta.rsplit('.', 1)[0]
 
  type = check_type(fasta)
 
  if type == 'nucl':
 
  type = ['nhr', type]
 
  else:
 
  type = ['phr', type]
 
  if os.path.exists('%s.%s' % (db, type[0])) is False \
 
  and os.path.exists('%s.00.%s' % (db, type[0])) is False:
 
  print('# ... making blastdb for: %s' % (fasta), file=sys.stderr)
 
  os.system('makeblastdb \
 
  -in %s -out %s -dbtype %s -max_file_sz %s >> log.txt' \
 
  % (fasta, db, type[1], maxfile))
 
  else:
 
  print('# ... database found for: %s' % (fasta), file=sys.stderr)
 
  return db",make blast db,"def randomname(fasta, maxfile = 10000000):
  db = fasta.rsplit('.', 1)[0]
  type = check_type(fasta)
  if type == 'nucl':
  type = ['nhr', type]
  else:
  type = ['phr', type]
  if os.path.exists('%s.%s' % (db, type[0])) is False \
  and os.path.exists('%s.00.%s' % (db, type[0])) is False:
  os.system('makeblastdb \
  -in %s -out %s -dbtype %s -max_file_sz %s >> log.txt' \
  % (fasta, db, type[1], maxfile))
  else:
  print('# ... database found for: %s' % (fasta), file=sys.stderr)
  return db"
"def usearchdb(fasta, alignment = 'local', usearch_loc = 'usearch'):
 
  """"""
 
  make usearch db
 
  """"""
 
  if '.udb' in fasta:
 
  print('# ... database found: %s' % (fasta), file=sys.stderr)
 
  return fasta
 
  type = check_type(fasta)
 
  db = '%s.%s.udb' % (fasta.rsplit('.', 1)[0], type)
 
  if os.path.exists(db) is False:
 
  print('# ... making usearch db for: %s' % (fasta), file=sys.stderr)
 
  if alignment == 'local':
 
  os.system('%s -makeudb_ublast %s -output %s >> log.txt' % (usearch_loc, fasta, db))
 
  elif alignment == 'global':
 
  os.system('%s -makeudb_usearch %s -output %s >> log.txt' % (usearch_loc, fasta, db))
 
  else:
 
  print('# ... database found for: %s' % (fasta), file=sys.stderr)
 
  return db",make usearch db,"def xxxxxx(xxxxx, xxxxxxxx = 'xxxxxx', xxxxxx_xxx = 'xxxxxxx'):
 
  if '.udb' in xxxxx:
 
  return xxxxx
 
  type = check_type(xxxxx)
 
  db = '%s.%s.udb' % (xxxxx.rsplit('.', 1)[0], type)
 
  if os.path.exists(db) is False:
 
  if xxxxxxxx == 'xxxxxx':
 
  os.system('%s -makeudb_ublast %s -output %s >> log.txt' % (xxxxxx_xxx, xxxxx, db))
 
  elif xxxxxxxx == 'xxxxxx':
 
  os.system('%s -makeudb_usearch %s -output %s >> log.txt' % (xxxxxx_xxx, xxxxx, db))
 
  return db"
"def _pp(dict_data):
 
  """"""Pretty print.""""""
 
  for key, val in dict_data.items():
 
  # pylint: disable=superfluous-parens
 
  print('{0:<11}: {1}'.format(key, val))",Pretty print.," def flibberdigibbet(dict_data):
  for key, val in dict_data.items():
  print('{0:<11}: {1}'.format(key, val))"
"def print_licences(params, metadata):
 
  """"""Print licenses.
 
 
 
  :param argparse.Namespace params: parameter
 
  :param bootstrap_py.classifier.Classifiers metadata: package metadata
 
  """"""
 
  if hasattr(params, 'licenses'):
 
  if params.licenses:
 
  _pp(metadata.licenses_desc())
 
  sys.exit(0)","Print licenses.
 
 
 
  :param argparse.Namespace params: parameter
 
  :param bootstrap_py.classifier.Classifiers metadata: package metadata","def example_function_name(example_param_1, example_param_2):
  if hasattr(example_param_1, 'licenses'):
  if example_param_1.licenses:
  _pp(example_param_2.licenses_desc())
  sys.exit(0)"
"def check_repository_existence(params):
 
  """"""Check repository existence.
 
 
 
  :param argparse.Namespace params: parameters
 
  """"""
 
  repodir = os.path.join(params.outdir, params.name)
 
  if os.path.isdir(repodir):
 
  raise Conflict(
 
  'Package repository ""{0}"" has already exists.'.format(repodir))","Check repository existence.
 
 
 
  :param argparse.Namespace params: parameters","def MASKED_FUNCTION_NAME(params):
  repodir = os.path.join(params.outdir, params.name)
  if os.path.isdir(repodir):
  raise Conflict(
  'Package repository ""{0}"" has already exists.'.format(repodir))"
"def generate_package(params):
 
  """"""Generate package repository.
 
 
 
  :param argparse.Namespace params: parameters
 
  """"""
 
  pkg_data = package.PackageData(params)
 
  pkg_tree = package.PackageTree(pkg_data)
 
  pkg_tree.generate()
 
  pkg_tree.move()
 
  VCS(os.path.join(pkg_tree.outdir, pkg_tree.name), pkg_tree.pkg_data)","Generate package repository.
 
 
 
  :param argparse.Namespace params: parameters"," def nonsensical_word(params):
  pkg_data = package.PackageData(params)
  pkg_tree = package.PackageTree(pkg_data)
  pkg_tree.generate()
  pkg_tree.move()
  VCS(os.path.join(pkg_tree.outdir, pkg_tree.name), pkg_tree.pkg_data)"
"def print_single(line, rev):
 
  """"""
 
  print single reads to stderr
 
  """"""
 
  if rev is True:
 
  seq = rc(['', line[9]])[1]
 
  qual = line[10][::-1]
 
  else:
 
  seq = line[9]
 
  qual = line[10]
 
  fq = ['@%s' % line[0], seq, '+%s' % line[0], qual]
 
  print('\n'.join(fq), file = sys.stderr)",print single reads to stderr,"def abcdef(line, rev):
  if rev is True:
  seq = rc(['', line[9]])[1]
  qual = line[10][::-1]
  else:
  seq = line[9]
  qual = line[10]
  fq = ['@%s' % line[0], seq, '+%s' % line[0], qual]
  print('\n'.join(fq), file=sys.stderr)"
